,cluster_ID,PS,Electrification
662,663,None(too far),off-grid system
663,664,Mocuba_HV,national grid extension
664,665,Alto Molocue HV,national grid extension
665,666,None(too far),off-grid system
666,667,Uape,national grid extension
667,668,None(too far),off-grid system
668,669,None(too far),off-grid system
669,670,None(too far),off-grid system
670,671,Uape,national grid extension
671,672,None(too far),off-grid system
672,673,None(too far),off-grid system
673,674,Mocuba_HV,national grid extension
674,675,None(too far),off-grid system
675,676,None(too far),off-grid system
676,677,None(too far),off-grid system
677,678,None(too far),off-grid system
678,679,None(too far),off-grid system
679,680,None(too far),off-grid system
680,681,None(too far),off-grid system
681,682,None(too far),off-grid system
682,683,Mocuba_HV,national grid extension
683,684,Mocuba_HV,national grid extension
684,685,None(too far),off-grid system
685,686,None(too far),off-grid system
686,687,Uape,national grid extension
687,688,None(too far),off-grid system
688,689,None(too far),off-grid system
689,690,None(too far),off-grid system
690,691,None(too far),off-grid system
691,692,Uape,national grid extension
692,693,None(too far),off-grid system
693,694,Uape,national grid extension
694,695,None(too far),off-grid system
695,696,Uape,national grid extension
696,697,Gurue,national grid extension
697,698,None(too far),off-grid system
698,699,None(too far),off-grid system
699,700,Alto Molocue HV,national grid extension
700,701,None(too far),off-grid system
701,702,Uape,national grid extension
702,703,None(too far),off-grid system
703,704,Uape,national grid extension
704,705,Alto Molocue HV,national grid extension
705,706,Gurue,national grid extension
706,707,None(too far),off-grid system
707,708,None(too far),off-grid system
708,709,None(too far),off-grid system
709,710,None(too far),off-grid system
710,711,None(too far),off-grid system
711,712,None(too far),off-grid system
712,713,Gurue,national grid extension
713,714,Uape,national grid extension
714,715,None(too far),off-grid system
715,716,Uape,national grid extension
716,717,Uape,national grid extension
717,718,Uape,national grid extension
718,719,Uape,national grid extension
719,720,Uape,national grid extension
720,721,None(too far),off-grid system
721,722,None(too far),off-grid system
722,723,Uape,national grid extension
723,724,Alto Molocue HV,national grid extension
724,725,None(too far),off-grid system
725,726,Gurue,national grid extension
726,727,None(too far),off-grid system
727,728,Gurue,national grid extension
728,729,None(too far),off-grid system
729,730,Gurue,national grid extension
730,731,None(too far),off-grid system
731,732,Gurue,national grid extension
732,733,None(too far),off-grid system
733,734,None(too far),off-grid system
734,735,None(too far),off-grid system
735,736,None(too far),off-grid system
736,737,None(too far),off-grid system
737,738,None(too far),off-grid system
738,739,None(too far),off-grid system
739,740,Uape,national grid extension
740,741,Alto Molocue HV,national grid extension
741,742,Uape,national grid extension
742,743,Alto Molocue HV,national grid extension
743,744,Gurue,national grid extension
744,745,Alto Molocue HV,national grid extension
745,746,None(too far),off-grid system
746,747,None(too far),off-grid system
747,748,None(too far),off-grid system
748,749,Gurue,national grid extension
749,750,Gurue,national grid extension
750,751,None(too far),off-grid system
751,752,Uape,national grid extension
752,753,None(too far),off-grid system
753,754,Uape,national grid extension
754,755,Alto Molocue HV,national grid extension
755,756,Alto Molocue HV,national grid extension
756,757,None(too far),off-grid system
757,758,None(too far),off-grid system
758,759,Gurue,national grid extension
759,760,Gurue,national grid extension
760,761,None(too far),off-grid system
761,762,Uape,national grid extension
762,763,None(too far),off-grid system
763,764,None(too far),off-grid system
764,765,None(too far),off-grid system
765,766,None(too far),off-grid system
766,767,None(too far),off-grid system
767,768,Uape,national grid extension
768,769,Uape,national grid extension
769,770,None(too far),off-grid system
770,771,None(too far),off-grid system
771,772,Uape,national grid extension
772,773,None(too far),off-grid system
773,774,Uape,national grid extension
774,775,Alto Molocue HV,national grid extension
775,776,None(too far),off-grid system
776,777,Uape,national grid extension
777,778,Gurue,national grid extension
778,779,Uape,national grid extension
779,780,Uape,national grid extension
780,781,Uape,national grid extension
781,782,Uape,national grid extension
782,783,None(too far),off-grid system
783,784,None(too far),off-grid system
784,785,Gurue,national grid extension
785,786,None(too far),off-grid system
786,787,Uape,national grid extension
787,788,Uape,national grid extension
788,789,Uape,national grid extension
789,790,Uape,national grid extension
790,791,None(too far),off-grid system
791,792,Uape,national grid extension
792,793,None(too far),off-grid system
793,794,None(too far),off-grid system
794,795,None(too far),off-grid system
795,796,None(too far),off-grid system
796,797,Gurue,national grid extension
797,798,None(too far),off-grid system
798,799,None(too far),off-grid system
799,800,None(too far),off-grid system
800,801,None(too far),off-grid system
801,802,None(too far),off-grid system
802,803,Uape,national grid extension
803,804,None(too far),off-grid system
804,805,Uape,national grid extension
805,806,Gurue,national grid extension
806,807,None(too far),off-grid system
807,808,None(too far),off-grid system
808,809,Uape,national grid extension
809,810,None(too far),off-grid system
810,811,None(too far),off-grid system
811,812,None(too far),off-grid system
812,813,Uape,national grid extension
813,814,None(too far),off-grid system
814,815,Uape,national grid extension
815,816,Uape,national grid extension
816,817,Alto Molocue HV,national grid extension
817,818,None(too far),off-grid system
818,819,None(too far),off-grid system
819,820,None(too far),off-grid system
820,821,None(too far),off-grid system
821,822,None(too far),off-grid system
822,823,None(too far),off-grid system
823,824,Uape,national grid extension
824,825,None(too far),off-grid system
825,826,Alto Molocue HV,national grid extension
826,827,Uape,national grid extension
827,828,None(too far),off-grid system
828,829,Uape,national grid extension
829,830,None(too far),off-grid system
830,831,Uape,national grid extension
831,832,Alto Molocue HV,national grid extension
832,833,Alto Molocue HV,national grid extension
833,834,None(too far),off-grid system
834,835,Alto Molocue HV,national grid extension
835,836,None(too far),off-grid system
836,837,None(too far),off-grid system
837,838,None(too far),off-grid system
838,839,Uape,national grid extension
839,840,None(too far),off-grid system
840,841,Gurue,national grid extension
841,842,None(too far),off-grid system
842,843,None(too far),off-grid system
843,844,None(too far),off-grid system
844,845,None(too far),off-grid system
845,846,Alto Molocue HV,national grid extension
846,847,None(too far),off-grid system
847,848,Alto Molocue HV,national grid extension
848,849,None(too far),off-grid system
849,850,None(too far),off-grid system
850,851,Alto Molocue HV,national grid extension
851,852,None(too far),off-grid system
852,853,Gurue,national grid extension
853,854,Alto Molocue HV,national grid extension
854,855,Uape,national grid extension
855,856,None(too far),off-grid system
856,857,Gurue,national grid extension
857,858,None(too far),off-grid system
858,859,Uape,national grid extension
859,860,Uape,national grid extension
860,861,None(too far),off-grid system
861,862,None(too far),off-grid system
862,863,None(too far),off-grid system
863,864,Gurue,national grid extension
864,865,None(too far),off-grid system
865,866,None(too far),off-grid system
866,867,None(too far),off-grid system
867,868,Alto Molocue HV,national grid extension
868,869,None(too far),off-grid system
869,870,Gurue,national grid extension
870,871,Gurue,national grid extension
871,872,None(too far),off-grid system
872,873,None(too far),off-grid system
873,874,Uape,national grid extension
874,875,Gurue,national grid extension
875,876,Gurue,national grid extension
876,877,Gurue,national grid extension
877,878,Gurue,national grid extension
878,879,Uape,national grid extension
879,880,Alto Molocue HV,national grid extension
880,881,Alto Molocue HV,national grid extension
881,882,Alto Molocue HV,national grid extension
882,883,Alto Molocue HV,national grid extension
883,884,None(too far),off-grid system
884,885,Uape,national grid extension
885,886,None(too far),off-grid system
886,887,None(too far),off-grid system
887,888,Gurue,national grid extension
888,889,Alto Molocue HV,national grid extension
889,890,None(too far),off-grid system
890,891,Gurue,national grid extension
891,892,Gurue,national grid extension
892,893,None(too far),off-grid system
893,894,None(too far),off-grid system
894,895,Uape,national grid extension
895,896,Alto Molocue HV,national grid extension
896,897,Gurue,national grid extension
897,898,Uape,national grid extension
898,899,Gurue,national grid extension
899,900,Alto Molocue HV,national grid extension
900,901,Alto Molocue HV,national grid extension
901,902,Uape,national grid extension
902,903,Uape,national grid extension
903,904,Uape,national grid extension
904,905,None(too far),off-grid system
905,906,Gurue,national grid extension
906,907,Alto Molocue HV,national grid extension
907,908,None(too far),off-grid system
908,909,None(too far),off-grid system
909,910,Gurue,national grid extension
910,911,Alto Molocue HV,national grid extension
911,912,Gurue,national grid extension
912,913,Gurue,national grid extension
913,914,None(too far),off-grid system
914,915,Gurue,national grid extension
915,916,Gurue,national grid extension
916,917,Gurue,national grid extension
917,918,Gurue,national grid extension
918,919,Gurue,national grid extension
919,920,Alto Molocue HV,national grid extension
920,921,Gurue,national grid extension
921,922,None(too far),off-grid system
922,923,Uape,national grid extension
923,924,Alto Molocue HV,national grid extension
924,925,Gurue,national grid extension
925,926,Alto Molocue HV,national grid extension
926,927,Gurue,national grid extension
927,928,Gurue,national grid extension
928,929,None(too far),off-grid system
929,930,None(too far),off-grid system
930,931,None(too far),off-grid system
931,932,Gurue,national grid extension
932,933,Gurue,national grid extension
933,934,Alto Molocue HV,national grid extension
934,935,Alto Molocue HV,national grid extension
935,936,Alto Molocue HV,national grid extension
936,937,Gurue,national grid extension
937,938,None(too far),off-grid system
938,939,Gurue,national grid extension
939,940,None(too far),off-grid system
940,941,Alto Molocue HV,national grid extension
941,942,Alto Molocue HV,national grid extension
942,943,Gurue,national grid extension
943,944,Gurue,national grid extension
944,945,Gurue,national grid extension
945,946,None(too far),off-grid system
946,947,Gurue,national grid extension
947,948,None(too far),off-grid system
948,949,Alto Molocue HV,national grid extension
949,950,None(too far),off-grid system
950,951,Gurue,national grid extension
951,952,Gurue,national grid extension
952,953,Gurue,national grid extension
953,954,Gurue,national grid extension
954,955,Gurue,national grid extension
955,956,None(too far),off-grid system
956,957,Gurue,national grid extension
957,958,Gurue,national grid extension
958,959,Gurue,national grid extension
959,960,Gurue,national grid extension
960,961,Alto Molocue HV,national grid extension
961,962,Gurue,national grid extension
962,963,Alto Molocue HV,national grid extension
963,964,Gurue,national grid extension
964,965,Gurue,national grid extension
965,966,Gurue,national grid extension
966,967,None(too far),off-grid system
967,968,Gurue,national grid extension
968,969,Gurue,national grid extension
969,970,Gurue,national grid extension
970,971,Alto Molocue HV,national grid extension
971,972,Alto Molocue HV,national grid extension
972,973,Gurue,national grid extension
973,974,Gurue,national grid extension
974,975,Alto Molocue HV,national grid extension
975,976,Gurue,national grid extension
976,977,Gurue,national grid extension
977,978,Gurue,national grid extension
978,979,Gurue,national grid extension
979,980,Alto Molocue HV,national grid extension
980,981,Gurue,national grid extension
981,982,Gurue,national grid extension
982,983,Gurue,national grid extension
983,984,Gurue,national grid extension
984,985,Alto Molocue HV,national grid extension
985,986,Gurue,national grid extension
986,987,Gurue,national grid extension
987,988,Gurue,national grid extension
988,989,Gurue,national grid extension
989,990,Gurue,national grid extension
990,991,Gurue,national grid extension
991,992,Gurue,national grid extension
992,993,Alto Molocue HV,national grid extension
993,994,None(too far),off-grid system
994,995,Gurue,national grid extension
995,996,Gurue,national grid extension
996,997,Alto Molocue HV,national grid extension
997,998,Gurue,national grid extension
998,999,Alto Molocue HV,national grid extension
999,1000,Alto Molocue HV,national grid extension
1000,1001,Gurue,national grid extension
1001,1002,Uape,national grid extension
1002,1003,None(too far),off-grid system
1003,1004,Gurue,national grid extension
1004,1005,Gurue,national grid extension
1005,1006,Gurue,national grid extension
1006,1007,Alto Molocue HV,national grid extension
1007,1008,None(too far),off-grid system
1008,1009,None(too far),off-grid system
1009,1010,None(too far),off-grid system
1010,1011,Alto Molocue HV,national grid extension
1011,1012,None(too far),off-grid system
1012,1013,None(too far),off-grid system
1013,1014,None(too far),off-grid system
1014,1015,Uape,national grid extension
1015,1016,None(too far),off-grid system
1016,1017,None(too far),off-grid system
1017,1018,Uape,national grid extension
1018,1019,None(too far),off-grid system
1019,1020,None(too far),off-grid system
1020,1021,Gurue,national grid extension
1021,1022,None(too far),off-grid system
1022,1023,Alto Molocue HV,national grid extension
1023,1024,None(too far),off-grid system
1024,1025,None(too far),off-grid system
1025,1026,Gurue,national grid extension
1026,1027,Gurue,national grid extension
1027,1028,Alto Molocue HV,national grid extension
1028,1029,Gurue,national grid extension
1029,1030,Alto Molocue HV,national grid extension
1030,1031,Gurue,national grid extension
1031,1032,Gurue,national grid extension
1032,1033,Gurue,national grid extension
1033,1034,Gurue,national grid extension
1034,1035,Gurue,national grid extension
1035,1036,Gurue,national grid extension
1036,1037,Gurue,national grid extension
1037,1038,Gurue,national grid extension
1038,1039,Gurue,national grid extension
1039,1040,Alto Molocue HV,national grid extension
1040,1041,Gurue,national grid extension
1041,1042,Alto Molocue HV,national grid extension
1042,1043,Alto Molocue HV,national grid extension
1043,1044,Gurue,national grid extension
1044,1045,Gurue,national grid extension
1045,1046,Gurue,national grid extension
1046,1047,Gurue,national grid extension
1047,1048,Gurue,national grid extension
1048,1049,Gurue,national grid extension
