ID,dist_from_city,HDI,Trees_cover_areas,Shrubs_cover_areas,Grassland,Cropland,Vegetation_aquatic_or_regularly_flooded,Lichen_Mosses_/_Sparse_vegetation,Bare_areas,Built_up_areas,Snow_and/or_Ice,Open_water,elevation_average,average_wealth_index,roads_extension,rivers_extension,close_to_roads_buildings_perc,proximity_to_water,GHI,DNI,TEMP,PVOUT,wind_50
12,130,0.523296968637228,0.12,5.97,0.49,93.3,0.0,0.12,0.0,0.0,0.0,0.0,0,0.5224,3.153454747929532,0.0,0,1198,5.6864166259765625,6.628499507904053,14.466667175292969,5.158666610717773,2.95959734916687
120,258,0.523296968637228,9.36,18.23,17.8,54.61,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.1384,3.2069974387140956,0.0912914229746119,0,4602,5.545437812805176,6.234187602996826,13.850000381469727,5.007499694824219,2.43691086769104
121,249,0.523296968637228,17.27,11.95,26.38,43.93,0.0,0.0,0.47,0.0,0.0,0.0,0,-0.13733333333333334,0.7408069606050747,0.5599436843246827,0,6175,5.405250072479248,5.887583255767822,13.649999618530273,4.9014997482299805,3.1868906021118164
122,163,0.523296968637228,1.82,7.3,4.99,85.55,0.0,0.0,0.07,0.27,0.0,0.0,0,0.18777777777777777,10.938422661227367,0.0,0,508,5.67039155960083,6.576782703399658,14.585714340209961,5.12328577041626,3.302555799484253
123,225,0.523296968637228,1.18,5.67,6.38,86.76,0.0,0.0,0.0,0.0,0.0,0.0,0,0.22999999999999998,0.9417155393131582,0.0,0,1747,5.614874839782715,6.435250282287598,14.533332824707031,5.11133337020874,3.2167599201202393
124,1518,0.523296968637228,1.49,55.22,29.1,14.18,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.1905,0.0,0.0,0,1472,5.523857116699219,6.361571311950684,10.300000190734863,5.132499694824219,4.045168399810791
125,269,0.523296968637228,4.52,5.74,11.17,76.31,0.0,0.08,0.27,1.92,0.0,0.0,0,0.032444444444444435,12.320121616711692,0.0,0,1562,5.651305198669434,6.548949241638184,14.34444522857666,5.110333442687988,3.598170042037964
126,303,0.523296968637228,4.04,10.77,18.92,64.41,0.0,1.36,0.49,0.0,0.0,0.0,0,-0.08383333333333333,6.963672053250589,0.0,0,2103,5.612951278686523,6.416975975036621,14.100000381469727,5.076125144958496,3.581806182861328
127,139,0.523296968637228,0.0,13.76,10.75,75.49,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.2605,1.9216546493261417,0.0,0,340,5.671600341796875,6.5973005294799805,14.299999237060547,5.13866662979126,2.9488072395324707
128,124,0.523296968637228,2.03,12.02,10.61,74.93,0.0,0.34,0.07,0.0,0.0,0.0,0,-0.041428571428571426,6.728762911951453,0.0,0,224,5.65493106842041,6.532551288604736,13.75,5.136750221252441,3.8220245838165283
129,183,0.523296968637228,6.94,11.51,10.78,70.78,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.1738333333333333,2.824347319493265,0.0,0,2394,5.65346097946167,6.57576847076416,14.450000762939453,5.129499912261963,2.9053072929382324
13,473,0.523296968637228,12.56,14.95,33.07,39.09,0.0,0.32,0.0,0.0,0.0,0.0,0,-0.006666666666666668,3.541179733576232,0.0,0,3882,5.550299644470215,6.287300109863281,13.600000381469727,4.971250057220459,3.3336567878723145
130,214,0.523296968637228,6.76,18.62,14.54,59.9,0.0,0.18,0.0,0.0,0.0,0.0,0,-0.14828571428571427,6.620018660412,0.0,0,3124,5.617666244506836,6.467629432678223,13.971428871154785,5.095856666564941,2.8525960445404053
131,360,0.523296968637228,7.5,51.13,17.77,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.074,3.42521571841385,0.0,0,1460,5.557166576385498,6.245721817016602,13.549999237060547,5.052249908447266,3.581806182861328
