ID,X,Y,Voltage,Power,Cluster,Distance
26805.0,-149723.82447231616,3183178.198825033,0.972,30.007,40.0,9.174
31695.0,-149423.58565153476,3182941.1375489137,0.972,23.882,40.0,9.173
31732.0,-150503.58565153476,3183121.1375489137,0.972,7.371,40.0,9.175
31760.0,-147653.18724894442,3184502.270048948,0.972,34.519,41.0,7.736
31787.0,-147803.18724894442,3184862.270048948,0.972,31.517,41.0,7.737
22841.0,-147099.36968893604,3185479.995290732,0.971,0.0,42.0,8.668
22859.0,-147902.37925458225,3186790.7099483213,0.971,0.0,42.0,8.67
22865.0,-148105.47955064653,3186711.164001017,0.971,0.0,42.0,8.67
22879.0,-147433.95340268244,3186226.4735726374,0.971,0.0,42.0,8.669
23030.0,-147856.239461837,3185710.9437029273,0.971,0.0,42.0,8.671
23074.0,-147944.45921676292,3185924.4297561906,0.971,0.0,42.0,8.671
28178.0,-147484.2490739325,3186015.3366797706,0.971,0.0,42.0,8.669
22848.0,-146957.52371577107,3185434.1406406392,0.971,17.575,42.0,8.668
22862.0,-148007.3905730135,3186785.4949977724,0.971,43.398,42.0,8.67
22874.0,-147562.75007083194,3186371.421008614,0.971,56.461,42.0,8.669
22929.0,-147163.1929225626,3185307.223661153,0.971,22.325,42.0,8.668
22975.0,-148082.26988990617,3187149.6318688244,0.971,23.882,42.0,8.67
23046.0,-148512.45553494213,3185880.818671044,0.971,31.517,42.0,8.672
23061.0,-148259.11945301507,3186341.814404188,0.971,67.897,42.0,8.671
23092.0,-148338.72003846872,3186025.293815181,0.971,31.517,42.0,8.672
23108.0,-148616.95339499554,3186390.6353594926,0.971,43.398,42.0,8.672
31822.0,-147188.6923575386,3185720.300781315,0.971,20.757,42.0,8.668
31858.0,-147968.6923575386,3185930.300781315,0.971,43.398,42.0,8.671
31870.0,-147428.6923575386,3186020.300781315,0.971,10.941,42.0,8.669
31950.0,-147308.6923575386,3186320.300781315,0.971,26.962,42.0,8.669
31959.0,-147878.6923575386,3186350.300781315,0.971,12.646,42.0,8.671
22797.0,-142168.99557952126,3189240.968543884,0.901,0.0,43.0,17.571
22800.0,-142260.34677705882,3189311.4920502617,0.901,0.0,43.0,17.571
22815.0,-142452.7806362999,3189847.8432217664,0.901,0.0,43.0,17.572
22794.0,-142151.50965308194,3189131.5705311,0.901,36.011,43.0,17.571
22808.0,-142402.08928325085,3189567.5311499937,0.901,12.646,43.0,17.572
22822.0,-142622.46785656008,3190107.65480128,0.901,23.882,43.0,17.572
27284.0,-142368.54257962632,3188732.286063005,0.901,44.863,43.0,17.572
32113.0,-142177.11973364052,3189422.533156587,0.901,31.517,43.0,17.572
32136.0,-142357.11973364052,3189932.533156587,0.901,17.575,43.0,17.572
22833.0,-142759.87560061552,3191122.8699405664,0.901,0.0,44.0,18.79
27502.0,-142986.88308940473,3191644.637008555,0.901,59.333,44.0,18.791
