Unnamed: 0,X,Y,ID,Weight,Cluster,MV_Power,Population,Substation,geometry
28513.0,-150742.7051677799,3174009.531212002,30828.0,3.0,24.0,29.78944693419093,87.0,1.0,POINT (-150742.7051677799 3174009.531212002)
28514.0,-150112.7051677799,3174009.531212002,30830.0,3.0,24.0,18.010220222537935,48.0,1.0,POINT (-150112.7051677799 3174009.531212002)
28515.0,-143569.93116092446,3174266.2532801577,20085.0,3.0,25.0,41.10857427963124,127.0,1.0,POINT (-143569.9311609245 3174266.253280158)
28516.0,-143859.51290171832,3174539.626795953,20090.0,3.0,25.0,4.8137839741977215,9.0,1.0,POINT (-143859.5129017183 3174539.626795953)
28517.0,-146434.48973877152,3218376.3782197274,28184.0,3.0,26.0,20.96038894357578,58.0,1.0,POINT (-146434.4897387715 3218376.378219727)
28518.0,-144795.9220350301,3176699.443949064,30894.0,3.0,27.0,18.010220222537935,48.0,1.0,POINT (-144795.9220350301 3176699.443949064)
24353.0,-138006.56938549288,3169398.492608598,24426.0,1.0,28.0,0.0,0.0,1.0,POINT (-138006.5693854929 3169398.492608598)
25865.0,-139171.1240573373,3168814.205620516,25972.0,1.0,28.0,0.0,0.0,1.0,POINT (-139171.1240573373 3168814.205620516)
28519.0,-137708.01794994966,3170272.725692233,21476.0,3.0,28.0,0.0,0.0,1.0,POINT (-137708.0179499497 3170272.725692233)
28520.0,-138233.05864278175,3169269.184683645,21494.0,3.0,28.0,0.0,0.0,1.0,POINT (-138233.0586427817 3169269.184683645)
28521.0,-138378.73438478645,3170564.848136112,23485.0,3.0,28.0,13.888321657814894,35.0,1.0,POINT (-138378.7343847865 3170564.848136112)
28522.0,-138136.61433142837,3168653.470697746,23502.0,3.0,28.0,36.116987538242675,109.0,1.0,POINT (-138136.6143314284 3168653.470697746)
28523.0,-138423.94464439538,3168760.226678843,23513.0,3.0,28.0,20.68882218820476,57.0,1.0,POINT (-138423.9446443954 3168760.226678843)
28524.0,-137779.10704963465,3168324.9327316256,23549.0,3.0,28.0,24.632836321174693,70.0,1.0,POINT (-137779.1070496347 3168324.932731626)
28525.0,-139235.58196222686,3168725.6272753137,25975.0,3.0,28.0,61.867836111845996,200.0,1.0,POINT (-139235.5819622269 3168725.627275314)
