ID,dist_from_city,HDI,Trees_cover_areas,Shrubs_cover_areas,Grassland,Cropland,Vegetation_aquatic_or_regularly_flooded,Lichen_Mosses_/_Sparse_vegetation,Bare_areas,Built_up_areas,Snow_and/or_Ice,Open_water,elevation_average,average_wealth_index,roads_extension,rivers_extension,close_to_roads_buildings_perc,proximity_to_water,GHI,DNI,TEMP,PVOUT,wind_50
4539,501,0.418559250822609,17.92,7.39,1.78,72.9,0.0,0.0,0.0,0.0,0.0,0.0,288.81316137566137,-0.4235,0.0,0.0,0,39943,5.371307373046875,4.580153942108154,20.850000381469727,4.429333209991455,4.345635414123535
4540,193,0.418559250822609,4.21,2.34,12.55,80.9,0.0,0.0,0.0,0.0,0.0,0.0,445.08417508417506,-0.6639999999999999,0.0,0.0,0,25072,5.5552144050598145,4.999072074890137,22.0,4.577666759490967,5.720317363739014
4544,394,0.418559250822609,0.28,7.38,8.37,83.97,0.0,0.0,0.0,0.0,0.0,0.0,429.3991769547325,-0.41525000000000006,0.0,0.0,0,20531,5.551666736602783,4.885666847229004,23.299997329711914,4.553333282470703,5.065608501434326
455,141,0.418559250822609,45.72,1.99,19.62,32.63,0.0,0.03,0.0,0.0,0.0,0.0,3.173311184939092,-0.5776,2.9001547361240347,0.0,0,6457,5.3979997634887695,4.7349653244018555,24.950002670288086,4.421000003814697,4.158661365509033
4555,275,0.418559250822609,22.65,22.65,1.87,52.84,0.0,0.0,0.0,0.0,0.0,0.0,582.3796296296297,-0.6081666666666666,1.0368960021177163,0.0,0,45224,5.393356800079346,4.596142292022705,20.950000762939453,4.4407501220703125,4.131175994873047
456,90,0.418559250822609,7.47,6.94,40.61,42.43,0.0,0.0,0.0,2.55,0.0,0.0,13.313725490196079,-0.2314285714285714,9.33142089530695,0.0,0,4366,5.311647891998291,4.529351711273193,24.83333396911621,4.336833477020264,4.21492862701416
4566,395,0.418559250822609,1.18,2.41,28.32,68.09,0.0,0.0,0.0,0.0,0.0,0.0,289.6857717445953,-0.4258333333333333,0.0,0.0,0,21809,5.5551605224609375,4.895279884338379,23.316665649414062,4.554833889007568,5.169652938842773
4570,39,0.418559250822609,5.54,1.57,16.23,76.66,0.0,0.0,0.0,0.0,0.0,0.0,434.53246753246754,-0.6056666666666667,0.0,0.0,0,28847,5.586578845977783,5.043368816375732,22.475000381469727,4.604249954223633,6.918066501617432
4572,73,0.418559250822609,0.0,1.52,0.0,98.48,0.0,0.0,0.0,0.0,0.0,0.0,457.008658008658,-0.4412,0.0,0.0,0,41697,5.365000247955322,4.510499954223633,21.125,4.412750244140625,4.289659023284912
4573,361,0.418559250822609,2.37,11.44,1.82,84.37,0.0,0.0,0.0,0.0,0.0,0.0,501.5492063492064,-0.6612,1.4906627400071404,0.0,0,44166,5.401200771331787,4.614999771118164,20.799999237060547,4.452000141143799,4.333755016326904
4578,134,0.418559250822609,2.21,0.52,79.95,17.32,0.0,0.0,0.0,0.0,0.0,0.0,371.88703703703703,-0.472,0.8352305104840514,0.0,0,841,5.402727127075195,4.4799089431762695,22.700002670288086,4.405666351318359,3.5132553577423096
4582,151,0.418559250822609,15.23,1.83,41.92,41.01,0.0,0.0,0.0,0.0,0.0,0.0,357.0833333333333,-0.4666666666666666,0.8607144684834086,0.0,0,5004,5.406667232513428,4.48841667175293,22.066665649414062,4.424333572387695,3.7376930713653564
4584,452,0.418559250822609,0.1,17.65,13.37,68.88,0.0,0.0,0.0,0.0,0.0,0.0,466.5857142857143,-0.648,0.0,0.0,0,25683,5.560817718505859,4.909273147583008,23.27499771118164,4.560500144958496,5.585756301879883
4602,97,0.418559250822609,0.19,4.14,24.12,71.55,0.0,0.0,0.0,0.0,0.0,0.0,428.4238816738817,-0.42733333333333334,3.560585625164157,0.0,0,32339,5.568973541259766,4.980026721954346,22.83333396911621,4.575333118438721,5.8022661209106445
4607,1059,0.418559250822609,26.39,4.12,6.57,62.92,0.0,0.0,0.0,0.0,0.0,0.0,632.1311728395061,-0.4194,0.0,0.0,0,33114,5.264727592468262,4.460636138916016,19.75,4.36175012588501,4.047751426696777
4611,1158,0.418559250822609,38.83,5.27,16.4,39.5,0.0,0.0,0.0,0.0,0.0,0.0,600.7866161616162,-0.4194000000000001,0.0,0.0,0,32169,5.250071048736572,4.4332146644592285,19.75,4.351250171661377,3.901306629180908
4613,488,0.418559250822609,1.78,5.84,12.33,80.05,0.0,0.0,0.0,0.0,0.0,0.0,536.8629629629629,-0.6296000000000002,0.0,0.0,0,41149,5.37375020980835,4.565249919891357,21.133333206176758,4.431000232696533,4.011700630187988
