ID,cluster_ID,residential_area,n_residential_area,admin_0,admin_1,admin_2,admin_3,OSM,urban_percentage,n_buildings,area,extension,population_facebook,population_worldpop,population_density,building_density,night_lights,schools,hospitals,distance_road,distance_grid,distance_official_substations,distance_substations,grid_buildings,lights_build,centroid,polygons,Existing_220.0:,Planned_220.0:,Existing_110.0:,Planned_400.0:,Planned_110.0:,type
1135,294,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,132,0.340917158,0.996247058,89.33107622,266.1228638,780.6085957,387.190838,0.0,0,0,3.317689377,33.78003291,0,0,0,0.0,POINT (108104.2713603263 8106957.28525753),"0    POLYGON ((107791.464 8107087.720, 107790.678 8...
Name: geometry, dtype: geometry",,,,,,Rural
1137,295,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,1000,1.984003761,2.460560737,2750.696669,1841.500732,928.1740128,504.0313025,0.0,1,0,0.050566149,88.13472784,0,0,0,0.0,POINT (409409.1028303752 8107160.093962493),"0    POLYGON ((408590.082 8107373.542, 408589.916 8...
Name: geometry, dtype: geometry",,,,,,Suburban
1138,296,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,467,0.997748407,2.089032067,1346.700159,1649.392212,1653.114352,468.0538667,0.0,2,1,0.026702669,29.69667805,0,0,0,0.0,POINT (151302.5209088151 8106447.917739389),"0    POLYGON ((150441.067 8106281.465, 150440.471 8...
Name: geometry, dtype: geometry",,,,,,Rural
114,36,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,513,0.937606174,2.03043809,1499.376429,975.2879639,1040.189358,547.1380353,0.0,0,0,14.86504098,1.862007208,0,0,0,0.0,POINT (131473.3911017964 8019136.907130052),"0    POLYGON ((130892.749 8019397.944, 130891.984 8...
Name: geometry, dtype: geometry",,,,,,Rural
1144,297,99.99999226,1,['Mozambique'],0,0,0,No OSM location found,0.0,282,0.330017607,1.386709758,348.3911973,630.2896729,1909.866807,854.4998635,0.0,1,0,3.554598584,34.38520531,0,0,0,0.0,POINT (107830.6810014492 8108143.315952406),"0    POLYGON ((107501.662 8107722.894, 107512.639 8...
Name: geometry, dtype: geometry",,,,,,Rural
1146,298,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,166,0.479585804,1.256137735,538.6800637,675.4606323,1408.424993,346.1320136,0.0,0,0,0.004911104,30.92496493,0,0,0,0.0,POINT (152106.3249503116 8108392.594591805),"0    POLYGON ((151855.509 8108028.208, 151852.692 8...
Name: geometry, dtype: geometry",,,,,,Rural
1147,299,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,145,0.167851797,0.604225502,76.47924464,254.6013489,1516.822297,863.8572973,0.0,0,0,15.92467715,48.93087131,0,0,0,0.0,POINT (507327.2452958922 8119159.997021798),"0    POLYGON ((507273.213 8119326.943, 507273.237 8...
Name: geometry, dtype: geometry",,,,,,Rural
1148,300,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,824,0.398166039,1.0539545,481.8192413,1107.076294,2780.438778,2069.488404,0.0,0,0,15.3883526,49.91257516,0,0,0,0.0,POINT (505754.0735918134 8119373.852928241),"0    POLYGON ((505954.001 8119145.693, 505954.001 8...
Name: geometry, dtype: geometry",,,,,,Rural
1149,301,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,141,0.161644858,0.788349451,168.2543382,236.1884766,1461.156759,872.2826197,0.0,0,0,15.11447485,51.48413769,0,0,0,0.0,POINT (503557.4470649737 8119446.081163804),"0    POLYGON ((503864.025 8119530.582, 503868.925 8...
Name: geometry, dtype: geometry",,,,,,Rural
1150,302,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,307,0.457917593,1.907806047,382.3962232,726.1782227,1585.827306,670.4263057,0.0,0,0,15.12478174,52.77837894,0,0,0,0.0,POINT (501799.7892952192 8119496.900074144),"0    POLYGON ((501773.947 8119349.201, 501773.905 8...
Name: geometry, dtype: geometry",,,,,,Rural
