X,Y,geometry,ID,Elevation,Slope,Population,Land_cover,Protected_area,Road_dist,River_flow
-153671.20041559645,3179895.6725483807,POINT (-153671.2004155965 3179895.672548381),5797,2430.2255859375,23.768651962280273,0.0,3,False,903.4081452146892,
-153371.20041559645,3179895.6725483807,POINT (-153371.2004155965 3179895.672548381),5798,2417.06103515625,27.04277992248535,0.0,3,False,655.2931953838652,
-153071.20041559645,3179895.6725483807,POINT (-153071.2004155965 3179895.672548381),5799,2413.1005859375,22.88743019104004,0.0,3,False,471.8814120015196,
-152771.20041559645,3179895.6725483807,POINT (-152771.2004155965 3179895.672548381),5800,2380.385498046875,28.652393341064453,0.0,3,False,442.6454134730184,
-152471.20041559645,3179895.6725483807,POINT (-152471.2004155965 3179895.672548381),5801,2466.755615234375,28.652393341064453,0.0,3,False,574.4714648829656,
-152171.20041559645,3179895.6725483807,POINT (-152171.2004155965 3179895.672548381),5802,2505.196044921875,31.529417037963867,0.0,3,False,747.7892267334637,
-151871.20041559645,3179895.6725483807,POINT (-151871.2004155965 3179895.672548381),5803,2576.542236328125,28.111913681030273,0.0,3,False,918.2411975180125,
-151571.20041559645,3179895.6725483807,POINT (-151571.2004155965 3179895.672548381),5804,2551.877685546875,28.687509536743164,0.0,3,False,1118.7233973999585,
-151271.20041559645,3179895.6725483807,POINT (-151271.2004155965 3179895.672548381),5805,2537.4697265625,32.75147247314453,0.0,3,False,1228.0167837181693,
-150971.20041559645,3179895.6725483807,POINT (-150971.2004155965 3179895.672548381),5806,2571.2421875,29.56544303894043,0.0,3,False,1354.1964461067487,
-150671.20041559645,3179895.6725483807,POINT (-150671.2004155965 3179895.672548381),5807,2509.178955078125,29.46845817565918,0.0,3,False,1528.8499831550334,
-150371.20041559645,3179895.6725483807,POINT (-150371.2004155965 3179895.672548381),5808,2491.300537109375,29.094270706176758,0.0,3,False,1513.8828520834545,
-150071.20041559645,3179895.6725483807,POINT (-150071.2004155965 3179895.672548381),5809,2553.874755859375,25.915498733520508,0.0,3,False,1436.3016830168672,
