,X,Y,ID,Elevation,Type,Population,Weight,Elevation
71,-163571.20041559645,3164595.6725483807,71.0,2074.870361328125,Standard,43.0,1.5,2074.870361328125
72,-163271.20041559645,3164595.6725483807,72.0,2056.99462890625,Standard,109.0,1.5,2056.99462890625
73,-162971.20041559645,3164595.6725483807,73.0,2036.8607177734373,Standard,7.0,1.5,2036.8607177734373
74,-162671.20041559645,3164595.6725483807,74.0,2040.7088623046875,Standard,7.0,3.1336031904745583,2040.7088623046875
75,-162371.20041559645,3164595.6725483807,75.0,2032.743896484375,Standard,10.0,1.5,2032.743896484375
76,-162071.20041559645,3164595.6725483807,76.0,2036.908447265625,Standard,14.0,1.5,2036.908447265625
77,-161771.20041559645,3164595.6725483807,77.0,2126.10498046875,Standard,0.0,1.5,2126.10498046875
78,-161471.20041559645,3164595.6725483807,78.0,2157.462646484375,Standard,0.0,3.802085338492213,2157.462646484375
79,-161171.20041559645,3164595.6725483807,79.0,2146.23193359375,Standard,0.0,4.437096045480767,2146.23193359375
80,-160871.20041559645,3164595.6725483807,80.0,2187.990966796875,Standard,0.0,3.0830496617046452,2187.990966796875
81,-160571.20041559645,3164595.6725483807,81.0,2192.296142578125,Standard,0.0,1.5,2192.296142578125
82,-160271.20041559645,3164595.6725483807,82.0,2132.8037109375,Standard,0.0,1.5,2132.8037109375
83,-159971.20041559645,3164595.6725483807,83.0,2132.8037109375,Standard,40.0,3.5306311110260893,2132.8037109375
84,-159671.20041559645,3164595.6725483807,84.0,2047.1290283203125,Standard,40.0,1.5,2047.1290283203125
85,-159371.20041559645,3164595.6725483807,85.0,2014.3172607421875,Standard,69.0,1.5,2014.3172607421875
86,-159071.20041559645,3164595.6725483807,86.0,1981.654052734375,Standard,53.0,1.5,1981.654052734375
87,-158771.20041559645,3164595.6725483807,87.0,1942.5859375,Standard,25.0,3.679437541391221,1942.5859375
88,-158471.20041559645,3164595.6725483807,88.0,1346.6068115234375,Standard,0.0,1.5,1346.6068115234375
89,-164471.20041559645,3164895.6725483807,89.0,2128.634765625,Standard,4.0,1.5,2128.634765625
90,-164171.20041559645,3164895.6725483807,90.0,2151.08154296875,Standard,0.0,1.5,2151.08154296875
91,-163871.20041559645,3164895.6725483807,91.0,2152.385498046875,Standard,0.0,1.5,2152.385498046875
92,-163571.20041559645,3164895.6725483807,92.0,2127.815673828125,Standard,4.0,3.840094377014445,2127.815673828125
93,-163271.20041559645,3164895.6725483807,93.0,2112.9453125,Standard,4.0,3.8037968568470046,2112.9453125
94,-162971.20041559645,3164895.6725483807,94.0,2072.123779296875,Standard,4.0,1.5,2072.123779296875
95,-162671.20041559645,3164895.6725483807,95.0,2063.228759765625,Standard,16.0,3.0053031248880595,2063.228759765625
96,-162371.20041559645,3164895.6725483807,96.0,2055.808837890625,Standard,51.0,1.5,2055.808837890625
97,-162071.20041559645,3164895.6725483807,97.0,2029.99267578125,Standard,12.0,1.5,2029.99267578125
98,-161771.20041559645,3164895.6725483807,98.0,2086.5439453125,Standard,0.0,3.5526387879629664,2086.5439453125
99,-161471.20041559645,3164895.6725483807,99.0,2152.62060546875,Standard,0.0,4.544954157338996,2152.62060546875
100,-161171.20041559645,3164895.6725483807,100.0,2179.31591796875,Standard,0.0,4.20937155651588,2179.31591796875
101,-160871.20041559645,3164895.6725483807,101.0,2241.736572265625,Standard,0.0,1.5,2241.736572265625
102,-160571.20041559645,3164895.6725483807,102.0,2259.490478515625,Standard,0.0,1.5,2259.490478515625
103,-160271.20041559645,3164895.6725483807,103.0,2217.858154296875,Standard,0.0,1.5,2217.858154296875
104,-159971.20041559645,3164895.6725483807,104.0,2217.858154296875,Standard,40.0,1.5,2217.858154296875
105,-159671.20041559645,3164895.6725483807,105.0,2114.342041015625,Standard,40.0,1.5,2114.342041015625
106,-159371.20041559645,3164895.6725483807,106.0,2048.813720703125,Standard,63.0,1.5,2048.813720703125
107,-159071.20041559645,3164895.6725483807,107.0,1990.6651611328125,Standard,18.0,1.5,1990.6651611328125
108,-158771.20041559645,3164895.6725483807,108.0,1970.147705078125,Standard,0.0,1.5,1970.147705078125
109,-158471.20041559645,3164895.6725483807,109.0,1913.368896484375,Standard,0.0,1.5,1913.368896484375
110,-158171.20041559645,3164895.6725483807,110.0,1072.738525390625,Standard,4.0,1.5,1072.738525390625
111,-164471.20041559645,3165195.6725483807,111.0,2147.528564453125,Standard,0.0,1.5,2147.528564453125
112,-164171.20041559645,3165195.6725483807,112.0,2194.81982421875,Standard,0.0,1.5,2194.81982421875
113,-163871.20041559645,3165195.6725483807,113.0,2196.66552734375,Standard,0.0,1.5,2196.66552734375
114,-163571.20041559645,3165195.6725483807,114.0,2176.044189453125,Standard,0.0,4.019817243995991,2176.044189453125
115,-163271.20041559645,3165195.6725483807,115.0,2169.633544921875,Standard,0.0,4.486736813338932,2169.633544921875
116,-162971.20041559645,3165195.6725483807,116.0,2146.49462890625,Standard,10.0,3.6658176687638826,2146.49462890625
117,-162671.20041559645,3165195.6725483807,117.0,2115.46484375,Standard,7.0,3.619715697719832,2115.46484375
118,-162371.20041559645,3165195.6725483807,118.0,2119.045654296875,Standard,27.0,1.5,2119.045654296875
119,-162071.20041559645,3165195.6725483807,119.0,2061.141357421875,Standard,7.0,3.411146837987458,2061.141357421875
120,-161771.20041559645,3165195.6725483807,120.0,2087.06005859375,Standard,0.0,4.198440601252597,2087.06005859375
121,-161471.20041559645,3165195.6725483807,121.0,2152.974609375,Standard,0.0,5.142410092241837,2152.974609375
122,-161171.20041559645,3165195.6725483807,122.0,2195.01904296875,Standard,0.0,8.015001970597147,2195.01904296875
123,-160871.20041559645,3165195.6725483807,123.0,2269.044921875,Standard,0.0,1.5,2269.044921875
124,-160571.20041559645,3165195.6725483807,124.0,2325.34619140625,Standard,0.0,1.5,2325.34619140625
125,-160271.20041559645,3165195.6725483807,125.0,2271.865966796875,Standard,0.0,3.63780931720748,2271.865966796875
126,-159971.20041559645,3165195.6725483807,126.0,2271.865966796875,Standard,3.0,1.5,2271.865966796875
127,-159671.20041559645,3165195.6725483807,127.0,2181.03662109375,Standard,3.0,1.5,2181.03662109375
128,-159371.20041559645,3165195.6725483807,128.0,2096.37890625,Standard,43.0,3.1421647385643,2096.37890625
129,-159071.20041559645,3165195.6725483807,129.0,2029.249755859375,Standard,56.0,1.5,2029.249755859375
130,-158771.20041559645,3165195.6725483807,130.0,1998.09619140625,Standard,47.0,1.5,1998.09619140625
131,-158471.20041559645,3165195.6725483807,131.0,1948.38037109375,Standard,46.0,1.5,1948.38037109375
132,-158171.20041559645,3165195.6725483807,132.0,1865.617431640625,Standard,29.0,4.054095597319021,1865.617431640625
133,-157871.20041559645,3165195.6725483807,133.0,1343.302734375,Standard,0.0,4.899575151511911,1343.302734375
134,-157271.20041559645,3165195.6725483807,134.0,557.9401245117189,Standard,0.0,4.5829084580640735,557.9401245117189
135,-164771.20041559645,3165495.6725483807,135.0,2124.745849609375,Standard,0.0,4.019229758071404,2124.745849609375
136,-164471.20041559645,3165495.6725483807,136.0,2185.992919921875,Standard,0.0,3.5729348610168263,2185.992919921875
137,-164171.20041559645,3165495.6725483807,137.0,2240.590576171875,Standard,0.0,3.6817745477857353,2240.590576171875
138,-163871.20041559645,3165495.6725483807,138.0,2282.992919921875,Standard,0.0,1.5,2282.992919921875
139,-163571.20041559645,3165495.6725483807,139.0,2251.7353515625,Standard,0.0,3.3082706808411912,2251.7353515625
140,-163271.20041559645,3165495.6725483807,140.0,2221.486572265625,Standard,0.0,4.685063219239641,2221.486572265625
141,-162971.20041559645,3165495.6725483807,141.0,2202.513671875,Standard,0.0,5.183740525963421,2202.513671875
142,-162671.20041559645,3165495.6725483807,142.0,2185.73193359375,Standard,0.0,5.083856631265941,2185.73193359375
143,-162371.20041559645,3165495.6725483807,143.0,2198.026123046875,Standard,0.0,4.5386661265063335,2198.026123046875
144,-162071.20041559645,3165495.6725483807,144.0,2096.820068359375,Standard,0.0,4.5898520899524105,2096.820068359375
145,-161771.20041559645,3165495.6725483807,145.0,2133.487060546875,Standard,0.0,5.3881750538210005,2133.487060546875
146,-161471.20041559645,3165495.6725483807,146.0,2193.359375,Standard,0.0,8.01099904395403,2193.359375
147,-161171.20041559645,3165495.6725483807,147.0,2250.068115234375,Standard,0.0,3.1202644482947504,2250.068115234375
148,-160871.20041559645,3165495.6725483807,148.0,2308.284423828125,Standard,0.0,1.5,2308.284423828125
149,-160571.20041559645,3165495.6725483807,149.0,2388.103515625,Standard,0.0,1.5,2388.103515625
150,-160271.20041559645,3165495.6725483807,150.0,2356.95556640625,Standard,0.0,4.205100500846082,2356.95556640625
151,-159971.20041559645,3165495.6725483807,151.0,2356.95556640625,Standard,0.0,3.769106012500668,2356.95556640625
152,-159671.20041559645,3165495.6725483807,152.0,2239.811767578125,Standard,0.0,4.192750828558154,2239.811767578125
153,-159371.20041559645,3165495.6725483807,153.0,2152.975341796875,Standard,0.0,4.033376402586492,2152.975341796875
154,-159071.20041559645,3165495.6725483807,154.0,2073.919677734375,Standard,22.0,1.5,2073.919677734375
155,-158771.20041559645,3165495.6725483807,155.0,1998.09375,Standard,32.0,1.5,1998.09375
156,-158471.20041559645,3165495.6725483807,156.0,1933.7430419921875,Standard,0.0,1.5,1933.7430419921875
157,-158171.20041559645,3165495.6725483807,157.0,1939.1065673828125,Standard,0.0,1.5,1939.1065673828125
158,-157871.20041559645,3165495.6725483807,158.0,1953.4033203125,Standard,0.0,3.0753451706267083,1953.4033203125
159,-157571.20041559645,3165495.6725483807,159.0,1915.7489013671875,Standard,0.0,1.5,1915.7489013671875
160,-157271.20041559645,3165495.6725483807,160.0,1862.2169189453125,Standard,0.0,1.5,1862.2169189453125
161,-156971.20041559645,3165495.6725483807,161.0,1838.32421875,Standard,0.0,1.5,1838.32421875
162,-164771.20041559645,3165795.6725483807,162.0,2138.70556640625,Standard,0.0,5.357097022377448,2138.70556640625
163,-164471.20041559645,3165795.6725483807,163.0,2204.84033203125,Standard,0.0,5.030989429984012,2204.84033203125
