;ID;residential_area;n_residential_area;admin_0;admin_1;admin_2;admin_3;OSM;urban_percentage;n_buildings;area;extension;population_facebook;population_worldpop;population_density;building_density;night_lights;schools;hospitals;distance_road;distance_grid;distance_official_substations;distance_substations;grid_buildings;lights_build;centroid;polygons;Existing_Voltage:;dist_from_city;HDI;Trees_cover_areas;Shrubs_cover_areas;Grassland;Cropland;Vegetation_aquatic_or_regularly_flooded;Lichen_Mosses_/_Sparse_vegetation;Bare_areas;Built_up_areas;Snow_and/or_Ice;Open_water;elevation_average;average_wealth_index;roads_extension;rivers_extension;close_to_roads_buildings_perc;proximity_to_water;GHI;DNI;TEMP;PVOUT;wind_50;geometry
94;38;0;0;['Lesotho'];['Butha-Buthe'];['Nqoe'];0;No OSM location found;0.0;205.0;0.1365527176479744;0.9380977211200268;113.48564255241291;177.0045623779297;1296.2361015343392;1501.251703598306;0.0;0;0;2.5835624465200353;10.351431648175067;11.106064930189556;0;0.0;0.0;POINT (-147646.8369940507 3211054.738351567);"0    POLYGON ((-147226.370 3211015.951, -147250.718...
Name: geometry, dtype: geometry";;1174;0.523296968637228;10.44;30.89;34.67;23.78;0.0;0.22;0.0;0.0;0.0;0.0;0;-0.16633333333333333;1.05585147635374;0.16333895903951204;0;2399;5.386750221252441;6.134500026702881;11.333333015441895;4.9046669006347665;4.7061285972595215;POINT (-147646.8369940507 3211054.738351567)
95;39;0;0;['Lesotho'];['Butha-Buthe'];['Likila', 'Ngoajane'];0;['village', 'Phoku'];0.0;1026.0;2.7453878835680725;3.89334160507219;1347.7894386939074;1300.064453125;473.54490813711817;373.71768344316735;0.0;0;0;0.07954651453299097;0.4363093093942387;6.671613068800597;0;0.0;0.0;POINT (-138284.9240275414 3169331.98295343);"0    POLYGON ((-139647.822 3168765.885, -139647.822...
Name: geometry, dtype: geometry";0.0;100;0.5839151910281603;0.35;6.84;16.21;76.51;0.0;0.0;0.1;0.0;0.0;0.0;0;0.013875000000000012;28.79014509791493;0.41305024067550733;0;836;5.603375434875488;6.3850998878479;14.483332633972168;5.061666965484619;5.607778072357178;POINT (-138284.9240275414 3169331.98295343)
96;4;0;0;['Lesotho'];['Butha-Buthe'];['Likila'];0;No OSM location found;0.0;211.0;0.16531167702552346;0.740378189548769;294.03098297670607;231.9865875244141;1403.3284986189828;1276.3768645781895;33.333333333333336;0;0;1.724976566939685;1.4543772422432135;2.784140143663042;0;0.0;43.30643827302392;POINT (-139539.6572554219 3186895.770033028);"0    POLYGON ((-139323.784 3186988.005, -139338.997...
Name: geometry, dtype: geometry";;121;0.523296968637228;1.57;24.75;19.06;54.62;0.0;0.0;0.0;0.0;0.0;0.0;0;0.041400000000000006;1.2393321012846918;0.0;0;2833;5.654889583587647;6.558444499969482;14.199999809265135;5.141499996185303;2.6466307640075684;POINT (-139539.6572554219 3186895.770033028)
97;40;0;0;['Lesotho'];['Butha-Buthe'];['Likila'];0;['village', 'Ha Seboche'];0.0;1195.0;1.848072507604524;3.294479314343643;1973.3381242194605;1733.02978515625;937.749886990423;646.6196510595581;100.0;0;0;1.5312157346368358;0.3428744876053057;3.278462100212568;0;81.1727151130092;100.0;POINT (-137528.1242657126 3176963.653575116);"0    POLYGON ((-137736.411 3176813.917, -137734.695...
Name: geometry, dtype: geometry";0.0;152;0.523296968637228;3.26;10.43;16.52;69.0;0.0;0.66;0.13;0.0;0.0;0.0;0;0.16924999999999998;20.983645537438225;0.0;0;475;5.646250247955322;6.518267631530763;14.55555534362793;5.111222267150879;3.822495460510254;POINT (-137528.1242657126 3176963.653575116)
98;41;0;0;['Lesotho'];['Butha-Buthe'];['Nqoe'];0;['village', None];0.0;526.0;0.8118380629008176;1.8306638100224888;985.2617148868572;715.673095703125;881.5466142914253;647.9124643657677;100.0;0;0;0.14784865267430464;15.505080501586384;16.687068327545862;0;0.0;100.0;POINT (-158774.1446862108 3212037.936573806);"0    POLYGON ((-158790.370 3211426.158, -158835.410...
Name: geometry, dtype: geometry";;1780;0.523296968637228;0.64;15.38;57.01;8.2;0.0;0.0;10.2;8.07;0.0;0.51;0;-0.056250000000000015;9.89813391177548;1.2310274055469694;0;436;5.528599739074707;6.411359786987305;9.957143783569336;5.114142894744873;4.196979522705078;POINT (-158774.1446862108 3212037.936573806)
99;42;0;0;['Lesotho'];['Butha-Buthe'];['Nqoe'];0;No OSM location found;0.0;116.0;0.2379397694538465;1.2006584070773991;72.2181361697173;171.70774841308594;721.6437538256603;487.51833401477967;0.0;0;0;0.8287422202608368;4.8908610056637185;5.680906720140843;0;0.0;0.0;POINT (-146942.7203951176 3216469.740706715);"0    POLYGON ((-146394.912 3216213.234, -146409.424...
Name: geometry, dtype: geometry";;1161;0.523296968637228;0.0;24.77;3.33;71.9;0.0;0.0;0.0;0.0;0.0;0.0;0;-0.474;1.8412944093818064;0.0;0;1173;5.456166744232178;6.283916473388673;11.0;5.0144996643066415;5.917689800262451;POINT (-146942.7203951176 3216469.740706715)
100;43;0;0;['Lesotho'];['Butha-Buthe'];['Nqoe'];0;['village', 'Laoti'];0.0;210.0;0.1942319868069722;0.8483083016061337;128.9609574459237;183.91180419921875;946.866719651024;1081.1813412005001;0.0;0;0;0.5371466737643953;7.88380617788822;8.768107946635148;0;0.0;0.0;POINT (-148503.0225411438 3213743.606852295);"0    POLYGON ((-148291.503 3213602.384, -148317.804...
Name: geometry, dtype: geometry";;1237;0.523296968637228;2.47;26.36;20.26;50.91;0.0;0.0;0.0;0.0;0.0;0.0;0;-0.5136666666666666;1.4447444821676227;0.0;0;525;5.407249927520752;6.149624824523926;11.399999618530273;4.9659996032714835;3.6238765716552734;POINT (-148503.0225411438 3213743.606852295)
101;44;0;0;['Lesotho'];['Butha-Buthe'];['Nqoe'];0;No OSM location found;0.0;125.0;0.22515384187548604;0.7986075358722343;108.32720425457596;136.89018249511722;607.9851063381802;555.1759586191168;0.0;0;0;0.18102076703504766;8.196155817403262;9.131158128214773;0;0.0;0.0;POINT (-149172.1498956151 3213634.399671308);"0    POLYGON ((-149338.106 3213787.459, -149338.106...
Name: geometry, dtype: geometry";;1288;0.523296968637228;2.25;9.75;9.75;78.26;0.0;0.0;0.0;0.0;0.0;0.0;0;-0.2092;1.3820870610637075;0.0;0;228;5.4703335762023935;6.30222225189209;12.225000381469727;4.9584999084472665;3.457777976989746;POINT (-149172.1498956151 3213634.399671308)
102;45;0;0;['Lesotho'];['Butha-Buthe'];['Nqoe'];0;No OSM location found;0.0;222.0;0.2877400075448955;1.1469111299769976;128.9609574459237;279.18826293945307;970.2796122151764;771.5298331093628;0.0;0;0;1.0909660978024218;10.665025547704726;11.743214284474284;0;0.0;0.0;POINT (-152554.8931867287 3212662.015913076);"0    POLYGON ((-152115.677 3212281.557, -152130.460...
Name: geometry, dtype: geometry";;1451;0.523296968637228;0.0;57.18;0.0;42.82;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0482;0.5494964337943684;0.0;0;1152;5.542090892791748;6.504455089569093;10.950000762939453;5.100500106811523;5.012285232543945;POINT (-152554.8931867287 3212662.015913076)
103;46;0;0;['Lesotho'];['Butha-Buthe'];['Nqoe'];0;['village', 'Rakotoane'];0.0;176.0;0.28462686767497736;1.056308564069798;206.33753191347802;175.7169647216797;617.3590222070509;618.3534303619533;0.0;0;0;0.8186406948387328;9.667126726495217;10.702553641714383;0;0.0;0.0;POINT (-151217.8700828113 3212981.545123793);"0    POLYGON ((-151538.519 3213256.595, -151538.448...
Name: geometry, dtype: geometry";;1377;0.523296968637228;0.35;28.34;8.01;63.3;0.0;0.0;0.0;0.0;0.0;0.0;0;-0.010666666666666677;1.2874301126241288;0.0;0;367;5.4855003356933585;6.275083065032959;12.225000381469727;4.970749855041504;3.471818685531616;POINT (-151217.8700828113 3212981.545123793)
104;47;0;0;['Lesotho'];['Butha-Buthe'];['Nqoe'];0;No OSM location found;0.0;188.0;0.2860355851609999;1.14794381887359;180.5453404242932;240.08071899414062;839.3386398374424;657.2608785518105;100.0;0;0;1.0382873315253214;14.757598545834288;15.820496463410294;0;0.0;100.0;POINT (-154600.0491943241 3209099.262793705);"0    POLYGON ((-154348.324 3209091.324, -154287.402...
Name: geometry, dtype: geometry";;1487;0.523296968637228;0.0;62.14;14.15;23.71;0.0;0.0;0.0;0.0;0.0;0.0;0;-0.04819999999999998;1.103665557875616;0.0;0;1942;5.5281662940979;6.425583362579347;10.25;5.134749889373778;4.838545322418213;POINT (-154600.0491943241 3209099.262793705)
105;48;0;0;['Lesotho'];['Butha-Buthe'];['Nqoe'];0;No OSM location found;0.0;136.0;0.5309467208781895;1.5417962717574658;402.358187231282;274.00634765625;516.0712683243274;256.1462283354064;100.0;0;0;0.7560282819256666;16.259325943236433;17.37243690802522;0;0.0;100.0;POINT (-157052.8370017209 3209099.47120025);"0    POLYGON ((-157605.116 3209002.775, -157605.116...
Name: geometry, dtype: geometry";;1611;0.523296968637228;0.0;11.85;53.43;0.51;0.0;0.0;34.21;0.0;0.0;0.0;0;0.045000000000000005;5.60720054083329;0.0;0;143;5.535470485687256;6.462352752685548;9.31666660308838;5.134500026702881;4.572232723236084;POINT (-157052.8370017209 3209099.47120025)
106;49;0;0;['Lesotho'];['Butha-Buthe'];['Nqoe'];0;No OSM location found;0.0;50.0;0.026579707935900646;0.2988697495788847;20.6337531913478;42.34235000610352;1593.0329297904966;1881.1342893826932;0.0;0;0;2.356718308650788;12.199321900427927;12.376089439990293;0;0.0;0.0;POINT (-150053.9975995799 3208072.313673312);"0    POLYGON ((-149908.254 3208056.329, -149946.608...
Name: geometry, dtype: geometry";;1337;0.523296968637228;0.0;59.79;7.22;32.99;0.0;0.0;0.0;0.0;0.0;0.0;0;-0.43825;0.3982298988605758;0.0;0;1109;5.447249889373778;6.304999828338622;10.75;4.958999633789063;4.331048011779785;POINT (-150053.9975995799 3208072.313673312)
107;5;0;0;['Lesotho'];['Butha-Buthe'];['Likila'];0;No OSM location found;0.0;267.0;0.3557290872392539;1.3604189296467668;330.3657526409925;347.0903015136719;975.7152675013842;750.5711778368659;80.0;0;0;1.7075798513151788;1.231230455906803;3.3507017085003836;0;0.0;95.54851107949;POINT (-138501.1298482181 3183868.15656344);"0    POLYGON ((-138806.886 3183767.756, -138808.164...
Name: geometry, dtype: geometry";;125;0.523296968637228;3.51;8.13;1.85;86.52;0.0;0.0;0.0;0.0;0.0;0.0;0;0.021;2.779714942693516;0.0;0;127;5.673428535461426;6.5691423416137695;14.399999618530273;5.149750232696533;2.9383144378662114;POINT (-138501.1298482181 3183868.15656344)
108;50;0;0;['Lesotho'];['Butha-Buthe'];['Nqoe'];0;No OSM location found;0.0;418.0;0.6758814677583874;1.4365302305767915;639.6463489317817;517.8425903320311;766.1736784254433;618.4516367734258;100.0;0;0;0.5116066329157313;15.558721928083894;16.649933291664002;0;0.0;100.0;POINT (-155878.4747558831 3209037.721054623);"0    POLYGON ((-155604.373 3208739.277, -155591.966...
Name: geometry, dtype: geometry";;1534;0.523296968637228;0.15;38.79;32.1;28.76;0.0;0.0;0.21;0.0;0.0;0.0;0;-0.02471428571428568;5.649883256036433;0.0;0;1303;5.51615047454834;6.35414981842041;10.050000190734863;5.130499839782715;4.282612323760986;POINT (-155878.4747558831 3209037.721054623)
109;51;0;0;['Lesotho'];['Butha-Buthe'];['Butha-Buthe (Butha-Buthe District)'];0;No OSM location found;33.333333333333336;1258.0;1.921147909897917;2.9520884416244964;1560.2492802155255;1521.446533203125;791.9465884768703;654.8168381615374;100.0;0;0;1.881300690969736;1.6959308019738748;3.915221172434484;0;0.0;100.0;POINT (-125089.4783856242 3179502.123023701);"0    POLYGON ((-123833.705 3179115.650, -123851.105...
Name: geometry, dtype: geometry";;84;0.523296968637228;0.95;16.22;4.2;76.39;0.0;0.04;0.23;1.97;0.0;0.0;0;0.259875;9.388812971838712;0.0;0;300;5.6413326263427725;6.535262584686278;14.8100004196167;5.110700130462647;3.8623354434967037;POINT (-125089.4783856242 3179502.123023701)
