ID,residential_area,n_residential_area,admin_0,admin_1,admin_2,admin_3,OSM,urban_percentage,n_buildings,area,extension,population_facebook,population_worldpop,population_density,building_density,night_lights,schools,hospitals,distance_road,distance_grid,distance_official_substations,distance_substations,grid_buildings,lights_build,centroid,Existing_Voltage:
127,0,0,['Lesotho'],['Butha-Buthe'],['Tsa-le-Moleka'],0,No OSM location found,0.0,75.0,0.2483772501888427,1.037177212879134,80.1683040902113,142.3125,572.9691422696683,301.960022276505,50.0,0,0,2.1317615808783077,2.1237470620512644,6.773295046512727,0,0.0,47.236992647062934,POINT (-128826.7157781235 3186069.277159428),
128,0,0,['Lesotho'],['Butha-Buthe'],"['Tsa-le-Moleka', 'Butha-Buthe (Butha-Buthe District)']",0,No OSM location found,0.0,583.0,0.9929727524328612,2.0521447811688605,730.4935872756087,810.7565307617188,816.4942379086451,587.1258789041333,100.0,0,0,3.6394152557750425,0.8364019387573527,4.7757235765647374,0,0.0,100.0,POINT (-125597.6495979169 3186711.99228706),
129,0,0,['Lesotho'],['Butha-Buthe'],['Tsa-le-Moleka'],0,No OSM location found,0.0,325.0,0.37132359431104106,1.1952718949591825,386.8828723377712,382.4124755859375,1029.8631205901982,875.2473717782719,0.0,0,0,0.5079012876931469,2.1759839658284026,6.084640815140413,0,0.0,0.0,POINT (-136244.9956499946 3187887.450048991),
13,0,0,['Lesotho'],['Butha-Buthe'],['Likila'],0,No OSM location found,0.0,227.0,0.5134827817451467,1.5553124739128397,299.189421274543,332.77178955078125,648.0680587181665,442.0790882773267,0.0,0,0,1.6059878503592622,1.330626468931461,4.759152834775235,0,0.0,0.0,POINT (-146935.7703851609 3181601.02532572),
130,0,0,['Lesotho'],['Butha-Buthe'],['Tsa-le-Moleka'],0,No OSM location found,0.0,569.0,0.7350870559969935,2.8705637999812126,689.1461014924937,727.141357421875,989.1908060272646,774.0579777020685,0.0,0,0,0.1104144433409657,3.2447699553157356,5.827798745399866,0,0.0,0.0,POINT (-137113.3587247787 3188739.354845196),
131,0,0,['Lesotho'],['Butha-Buthe'],['Tsa-le-Moleka'],0,No OSM location found,0.0,269.0,0.4679280352208938,1.1906424326623557,264.5554034976972,384.0871276855469,820.8252098086657,574.8747237874169,0.0,0,0,2.4714150459711166,4.850279423340744,10.120843409614045,0,0.0,0.0,POINT (-132788.422905416 3189980.213010142),
132,0,0,['Lesotho'],['Butha-Buthe'],['Tsa-le-Moleka'],0,No OSM location found,0.0,384.0,0.7185684503489764,1.8760685576522036,665.4385404209664,630.886474609375,877.9768640036754,534.3958530513112,0.0,0,0,0.1888086691092457,2.154824007687994,7.577011086792767,0,0.0,0.0,POINT (-134565.9076682806 3187793.205838022),
133,0,0,['Lesotho'],['Butha-Buthe'],['Tsa-le-Moleka'],0,No OSM location found,0.0,145.0,0.3819138158500851,1.4753985721156644,164.34502338493309,286.6733093261719,750.6230396197593,379.6668095843846,0.0,0,0,1.8692268745018783,3.2191760497040227,9.230207808175187,0,0.0,0.0,POINT (-132090.0131054619 3187946.351541395),
134,0,0,['Lesotho'],['Butha-Buthe'],['Tsa-le-Moleka'],0,No OSM location found,0.0,353.0,0.5044789925319796,1.771728511889448,502.55580730841257,476.61737060546875,944.7714922941125,699.7318128715199,0.0,0,0,1.1368873830880177,1.9576079074795414,4.667597303492363,0,0.0,0.0,POINT (-133275.8920572153 3182840.027883125),
135,0,0,['Lesotho'],['Butha-Buthe'],['Tsa-le-Moleka'],0,No OSM location found,0.0,326.0,0.564845531348105,1.4308495273201287,420.88359647360915,435.4696044921875,770.953438284023,577.1489405642329,0.0,0,0,0.039908577326864474,0.967378222029543,5.957352281126425,0,0.0,0.0,POINT (-132122.0480868068 3183432.923287786),
136,0,0,['Lesotho'],['Butha-Buthe'],['Tsa-le-Moleka'],0,No OSM location found,0.0,135.0,0.15607004272345648,0.9621504801712698,204.4291754300387,203.44137573242188,1303.526110343313,864.9962391514757,0.0,0,0,1.427910918521861,2.32916786238494,5.396623030016107,0,0.0,0.0,POINT (-132012.8892824852 3181909.078849454),
137,0,0,['Lesotho'],['Butha-Buthe'],['Tsa-le-Moleka'],0,No OSM location found,0.0,1807.0,3.265084262894046,5.099043752305236,2657.5792805905035,2728.85986328125,835.7701191032947,553.4313526102828,0.0,0,0,0.02895156931887235,0.8510434868732619,7.874033199443226,0,0.0,0.0,POINT (-130755.6168252846 3184830.307951747),0.0
138,0,0,['Lesotho'],['Butha-Buthe'],['Tsa-le-Moleka'],0,No OSM location found,0.0,332.0,0.4759153594895603,1.233868010620735,696.3891702079881,508.3972473144531,1068.2513963401623,697.6030367166218,0.0,0,0,0.17470128770565516,0.7351584583036148,6.724352511566436,0,0.0,0.0,POINT (-133348.6576668315 3185773.812028019),
139,0,0,['Lesotho'],['Butha-Buthe'],['Tsa-le-Moleka'],0,No OSM location found,0.0,333.0,0.32872163846774766,1.1130999449951007,598.3788425490861,417.8797302246094,1271.2267198850964,1013.0151503022279,0.0,0,0,0.569635707375089,0.6961794915638752,6.546027343928243,0,0.0,0.0,POINT (-134213.8288018754 3186075.422919352),
14,0,0,['Lesotho'],['Butha-Buthe'],['Likila'],0,No OSM location found,0.0,410.0,0.5949974318096287,2.104750533009306,690.0090991145998,627.6279296875,1054.8414096152123,689.0786045126675,0.0,0,0,2.648470388614916,2.7861444079551747,3.649112436399609,0,0.0,0.0,POINT (-133624.1908483319 3181203.35068984),
140,0,0,['Lesotho'],['Butha-Buthe'],['Tsa-le-Moleka'],0,No OSM location found,0.0,1671.0,3.172569925579866,4.309803544836654,2557.3689004777398,2499.87158203125,787.964218495306,526.7023388600594,84.61538461538461,0,0,1.211296862121286,0.8096067551934674,5.678530092269013,0,0.0,92.79982255176171,POINT (-128280.6163413783 3184624.742424477),0.0
141,0,0,['Lesotho'],['Butha-Buthe'],['Tsa-le-Moleka'],0,No OSM location found,0.0,199.0,0.436616751966107,1.331267636768175,331.1234179335733,298.078125,682.6996986664834,455.77729004646085,0.0,0,0,0.8798222250735221,0.8851137761426698,7.3504567999009875,0,0.0,0.0,POINT (-131856.9219750713 3185331.512414152),
142,0,0,['Lesotho'],"['Leribe', 'Butha-Buthe']","['Sephokong', 'Maisa-Phoka', 'Tsa-le-Moleka', 'Butha-Buthe (Leribe District)', 'Butha-Buthe (Butha-Buthe District)']",0,"['town', 'Butha-Buthe']",90.10864644635582,29844.0,38.13502013237435,20.485941810595975,38125.48838637146,37405.0703125,980.8588059652113,782.5877604471023,97.6,1,0,0.22376331236676572,0.07989941498069218,2.370382750880215,0,72.0103787668828,99.81604512112156,POINT (-121105.9173374509 3184288.49528553),0.0
143,0,0,['Lesotho'],['Butha-Buthe'],"['Tsa-le-Moleka', 'Butha-Buthe (Butha-Buthe District)']",0,"['village', 'Ha pokane']",0.0,6203.0,8.460477207328307,7.336777233220939,9162.16748382116,8355.380859375,987.5779645310936,733.1737735345564,100.0,0,0,0.0922013320807316,0.02940840674287044,5.69079908507193,0,46.223891443165485,100.0,POINT (-127721.2740321214 3179708.872843738),0.0
